Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Chad Billis	CGY	D	2013-2014	2013-2014	10	0	3	3	-3	0	0	0	0	0	3
Sta Smrke		L	1956-1957	1957-1958	9	0	3	3		0					
Ja Beda		C	1997-1998	1997-1998	9	0	3	3	1	6	0	0	0	0	8
Patrick Wey	WSH	D	2013-2014	2013-2014	9	0	3	3	0	5	0	0	0	0	5
Stuart Percy	TOR	D	2014-2015	2014-2015	8	0	3	3	-2	2	0	0	0	0	12
Les Auge		D	1980-1981	1980-1981	6	0	3	3	-3	4	0	0	0		3
Roald Busiuk		R	1972-1973	1973-1974	6	0	3	3	-1	13	0	0	0		4
Joe Crozier		D	1959-1960	1959-1960	5	0	3	3		2					
Kerby Rychel	CBJ	L	2014-2015	2014-2015	5	0	3	3	3	2	0	0	0	0	4
Bill Kyle		C	1949-1950	1950-1951	3	0	3	3		0					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Risto Jalo		C	1985-1986	1985-1986	3	0	3	3	2	0	0	0	0		3
Paul Miller		C	1981-1982	1981-1982	3	0	3	3	2	0	0	0	0		0
Matthew Spiller		D	2003-2004	2007-2008	68	0	2	2	-14	74	0	0	0	0	31
Alexadre Picard		L	2005-2006	2009-2010	67	0	2	2	-9	58	0	0	0	0	53
Be Odrus		R	2005-2006	2008-2009	52	0	2	2	-20	77	0	0	0	0	30
Jesse Walli		D	1999-2000	2002-2003	49	0	2	2	-5	34	0	0	0	0	32
Joh Gibso		C	1980-1981	1983-1984	48	0	2	2	-12	120	0	0	0		46
Paul McItosh		D	1974-1975	1975-1976	48	0	2	2	-3	66	0	0	0		10
Tomas Malec		D	2002-2003	2006-2007	46	0	2	2	-2	47	0	0	0	0	33
Cummy Burto		R	1955-1956	1958-1959	43	0	2	2		21					
Beattie Ramsay		D	1927-1928	1927-1928	43	0	2	2		10					
Kerry Ketter		D	1972-1973	1972-1973	41	0	2	2	-6	58	0	0	0		31
Joh Mokosak		D	1988-1989	1989-1990	41	0	2	2	-9	96	0	0	0	0	15
Darcy Verot		C	2003-2004	2003-2004	37	0	2	2	-6	135	0	0	0	0	11
Jaime Sifers		D	2008-2009	2009-2010	37	0	2	2	-3	24	0	0	0	0	34
Michal Barika		D	2003-2004	2005-2006	34	0	2	2	-12	26	0	0	0	0	34
Steve Gaiey		L	2000-2001	2005-2006	33	0	2	2	-3	34	0	0	0	0	12
Ree Chapdelaie		D	1990-1991	1992-1993	32	0	2	2	-5	32	0	0	0	0	12
Bob Whitelaw		D	1940-1941	1941-1942	32	0	2	2		2					
Adre Deveaux		C	2008-2009	2011-2012	31	0	2	2	-1	104	0	0	0	0	18
Jim Murray		D	1967-1968	1967-1968	30	0	2	2	-4	14	0	0	0		24
Michael Stothers		D	1984-1985	1987-1988	30	0	2	2	-7	65	0	0	0	0	3
Jim Niekamp		D	1970-1971	1971-1972	29	0	2	2	-17	37	0	0	0		23
Thomas Price		D	1974-1975	1978-1979	29	0	2	2	-20	12	0	0	0		19
Theodore Fauss		R	1986-1987	1987-1988	28	0	2	2	10	15	0	0	0	0	6
Rady Osbur		L	1972-1973	1974-1975	27	0	2	2	-5	0	0	0	0		15
Shaye Steveso		R	1990-1991	1992-1993	27	0	2	2	-8	35	0	0	0	0	15
Neil Labatte		D	1978-1979	1981-1982	26	0	2	2	-4	19	0	0	0		18
Darcy Regier		D	1977-1978	1983-1984	26	0	2	2	-3	35	0	0	0		17
Michael Ruciski		D	1997-1998	2000-2001	26	0	2	2	1	10	0	0	0	0	13
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Keith Haso		D	1983-1984	1983-1984	25	0	2	2	-13	77	0	0	0		19
Rhys Thomso		D	1939-1940	1942-1943	25	0	2	2		38					
Derek Grat	OTT	C	2012-2013	2013-2014	25	0	2	2	-4	4	0	0	0	0	36
Ja Mertzig		D	1998-1999	1998-1999	23	0	2	2	-5	8	0	0	0	0	10
Dea Defazio		L	1983-1984	1983-1984	22	0	2	2	-11	28	0	0	0		12
Armad Raymod		D	1937-1938	1939-1940	22	0	2	2		10					
Jorda Krestaovich		L	2001-2002	2003-2004	22	0	2	2	1	6	0	0	0	0	31
Sea Whyte		R	1991-1992	1992-1993	21	0	2	2	0	12	0	0	0	0	7
Be Street	COL	C	2012-2013	2014-2015	21	0	2	2	-3	4	0	0	0	0	34
Joel Baillargeo		L	1986-1987	1988-1989	20	0	2	2	-6	31	0	0	0	0	6
Mitchell Messier		R	1987-1988	1990-1991	20	0	2	2	-10	11	0	0	0	0	9
Stefa Meyer		L	2007-2008	2010-2011	20	0	2	2	-1	17	0	0	0	0	12
Tom Polaic		D	1969-1970	1970-1971	19	0	2	2	-5	53	0	0	0		6
David Jese		D	1983-1984	1985-1986	18	0	2	2	-5	11	0	0	0		9
Arch Wilder		L	1940-1941	1940-1941	18	0	2	2		2					
Selmar Odelei		D	1985-1986	1988-1989	18	0	2	2	-2	35	0	0	0	0	19
Fedor Fedorov		L	2002-2003	2005-2006	18	0	2	2	0	14	0	0	0	0	14
Mike Duco		R	2009-2010	2011-2012	18	0	2	2	-3	65	0	0	0	0	10
Joh Bethel		L	1979-1980	1979-1980	17	0	2	2	-3	4	0	0	0		12
Ed Reigle		D	1950-1951	1950-1951	17	0	2	2		25					
Marquis Mathieu		C	1998-1999	2000-2001	16	0	2	2	-3	14	0	0	0	0	7
Walter Ledigham		L	1972-1973	1976-1977	15	0	2	2	-4	4	0	0	0		14
Joh Taft		D	1978-1979	1978-1979	15	0	2	2	2	4	0	0	0		13
Simo Wheeldo		C	1987-1988	1990-1991	15	0	2	2	-1	10	0	0	0	0	8
Arturs Kulda	WPG	D	2009-2010	2011-2012	15	0	2	2	3	8	0	0	0	0	16
Ady Miele	DET	C	2011-2012	2013-2014	15	0	2	2	2	11	0	0	0	0	10
Mike Bishai		C	2003-2004	2003-2004	14	0	2	2	0	19	0	0	0	0	14
Deis Abgrall		R	1975-1976	1975-1976	13	0	2	2	-7	4	0	0	0		9
Peter Diee		D	1986-1987	1989-1990	13	0	2	2	-9	13	0	0	0	0	5
Larry Gloeker		D	1978-1979	1978-1979	13	0	2	2	-7	6	0	0	0		13
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Jyrki Seppa		D	1983-1984	1983-1984	13	0	2	2	-9	6	0	0	0		7
Jaroslav Sevcik		L	1989-1990	1989-1990	13	0	2	2	-5	2	0	0	0	0	9
Chris Tierey	SJS	C	2014-2015	2014-2015	13	0	2	2	-2	2	0	0	0	0	13
Kevi Czuczma	NYI	D	2013-2014	2013-2014	13	0	2	2	-5	14	0	0	0	0	24
Rady Legge		D	1972-1973	1972-1973	12	0	2	2	0	2	0	0	0		10
Art Alexadre		L	1931-1932	1932-1933	11	0	2	2		8					
Gle Burdo		C	1974-1975	1974-1975	11	0	2	2	-3	0	0	0	0		2
Jiri Sejba		L	1990-1991	1990-1991	11	0	2	2	-5	8	0	0	0	0	10
Jeff Farkas		C	1999-2000	2002-2003	11	0	2	2	-1	6	0	0	0	0	9
Ilya Zubov		C	2007-2008	2008-2009	11	0	2	2	-1	0	0	0	0	0	11
Ke Baird		D	1971-1972	1971-1972	10	0	2	2	-10	15	0	0	0		6
Jergus Baca		D	1990-1991	1991-1992	10	0	2	2	-4	14	0	0	0	0	16
Jea Paul Deis		R	1946-1947	1949-1950	10	0	2	2		2					
Marcel Tremblay		R	1938-1939	1938-1939	10	0	2	2		0					
Chris Schmidt		C	2002-2003	2002-2003	10	0	2	2	-1	5	0	0	0	0	10
Alex Plate		D	2009-2010	2011-2012	10	0	2	2	-1	15	0	0	0	0	9
Jyrki Jokipakka	DAL	D	2014-2015	2014-2015	10	0	2	2	0	2	0	0	0	0	6
Tommy Dewar		D	1943-1944	1943-1944	9	0	2	2		4					
Jim Riley		L	1926-1927	1926-1927	9	0	2	2		14					
Markku Kylloe		R	1988-1989	1988-1989	9	0	2	2	-3	2	0	0	0	0	7
William Bowler		C	2000-2001	2000-2001	9	0	2	2	-3	8	0	0	0	0	3
Michael Fuk		D	2006-2007	2007-2008	9	0	2	2	-1	0	0	0	0	0	2
Chris Bree	BOS	D	2013-2014	2013-2014	9	0	2	2	1	5	0	0	0	0	4
Gerard Desauliers		C	1950-1951	1953-1954	8	0	2	2		4					
Marti Desjardis		C	1989-1990	1989-1990	8	0	2	2	-4	2	0	0	0	0	7
Bria Youg		D	1980-1981	1980-1981	8	0	2	2	-4	6	0	0	0		5
Rya Jardie		L	2001-2002	2001-2002	8	0	2	2	0	2	0	0	0	0	6
Charlie Stephes		C	2002-2003	2003-2004	8	0	2	2	-1	4	0	0	0	0	2
Lars Josso		D	2006-2007	2006-2007	8	0	2	2	-4	6	0	0	0	0	4
Shau Heshka		D	2009-2010	2009-2010	8	0	2	2	0	4	0	0	0	0	3
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Be Chiarot	WPG	D	2013-2014	2014-2015	8	0	2	2	1	4	0	0	0	0	9
Daiel Bag		L	2012-2013	2012-2013	8	0	2	2	-2	0	0	0	0	0	13
Roger Wilso		D	1974-1975	1974-1975	7	0	2	2	1	6	0	0	0		10
Michael Richard		C	1987-1988	1989-1990	7	0	2	2	-1	2	0	0	0	0	10
Chris Keady		R	1997-1998	1999-2000	7	0	2	2	0	0	0	0	0	0	4
Garrett Stafford		D	2007-2008	2010-2011	7	0	2	2	0	0	0	0	0	0	8
Matt Teyso	SJS	D	2012-2013	2014-2015	7	0	2	2	2	2	0	0	0	0	12
Doug Buhr		L	1974-1975	1974-1975	6	0	2	2	0	4	0	0	0		3
Al LeBru		D	1960-1961	1965-1966	6	0	2	2		4					
Tomas Kaa		C	2009-2010	2009-2010	6	0	2	2	2	2	0	0	0	0	4
Rejea Cloutier		D	1979-1980	1981-1982	5	0	2	2	2	2	0	0	0		1
Lorrai Thibeault		L	1944-1945	1945-1946	5	0	2	2		2					
Iva Vishevskiy	CHI	D	2008-2009	2009-2010	5	0	2	2	-1	2	0	0	0	0	13
Gerry Brisso		R	1962-1963	1962-1963	4	0	2	2		4					
Rick Chiick		R	1973-1974	1974-1975	4	0	2	2	0	0	0	0	0		7
Chuck Hamilto		L	1961-1962	1972-1973	4	0	2	2	4	2	0	0	0		
Ted McCaskill		C	1967-1968	1967-1968	4	0	2	2	-2	0	0	0	0		2
Sherma White		C	1946-1947	1949-1950	4	0	2	2		0					
Shaw Rivers		D	1992-1993	1992-1993	4	0	2	2	-2	2	0	0	0	0	3
Aatoli Fedotov		D	1992-1993	1993-1994	4	0	2	2	0	0	0	0	0	0	2
Joas Julad	STL	D	2008-2009	2009-2010	4	0	2	2	-3	2	0	0	0	0	7
Karel Betik		D	1998-1999	1998-1999	3	0	2	2	-3	2	0	0	0	0	2
Joas Nordqvist		C	2006-2007	2006-2007	3	0	2	2	1	2	0	0	0	0	2
Jim Agew		D	1986-1987	1992-1993	81	0	1	1	-9	257	0	0	0	0	32
Larry Molyeaux		D	1937-1938	1938-1939	45	0	1	1		20					
Johatha Aitke		D	1999-2000	2003-2004	44	0	1	1	-12	70	0	0	0	0	39
Robi Bartel		D	1985-1986	1986-1987	41	0	1	1	1	14	0	0	0		16
Bob Davie		D	1933-1934	1935-1936	41	0	1	1		25					
Murray Aderso		D	1974-1975	1974-1975	40	0	1	1	-40	68	0	0	0		24
James Hughes		D	1929-1930	1929-1930	40	0	1	1		48					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Doug Doull		L	2003-2004	2005-2006	37	0	1	1	1	151	0	0	0	0	4
Natha McIver		D	2006-2007	2008-2009	36	0	1	1	-9	95	0	0	0	0	14
Babe Doelly		D	1926-1927	1926-1927	34	0	1	1		14					
Do Ward		D	1957-1958	1959-1960	34	0	1	1		16					
Charles Cahill		R	1925-1926	1926-1927	32	0	1	1		4					
Beett Wolf		D	1980-1981	1982-1983	30	0	1	1	-3	133	0	0	0		15
Warre Luhig		R	1997-1998	1999-2000	29	0	1	1	-10	21	0	0	0	0	24
Val Hoffiger		D	1927-1928	1928-1929	28	0	1	1		30					
Chad Ruhwedel	BUF	D	2012-2013	2013-2014	28	0	1	1	-3	2	0	0	0	0	43
Sammy McMaus		L	1934-1935	1936-1937	26	0	1	1		8					
Gregory Stewart		L	2007-2008	2009-2010	26	0	1	1	-7	48	0	0	0	0	22
Joel Rechlicz	MIN	R	2008-2009	2011-2012	26	0	1	1	-3	105	0	0	0	0	8
Doug Baldwi		D	1945-1946	1947-1948	24	0	1	1		8					
Tom Fowler		C	1946-1947	1946-1947	24	0	1	1		18					
Colte Teubert		D	2011-2012	2011-2012	24	0	1	1	-5	25	0	0	0	0	13
Gord Kaegiesser		D	1967-1968	1971-1972	23	0	1	1	-4	15	0	0	0		16
Kyle Freadrich		L	1999-2000	2000-2001	23	0	1	1	-2	75	0	0	0	0	3
Davis Paye		L	1995-1996	1996-1997	22	0	1	1	-4	14	0	0	0	0	10
Robert Robiso		D	1991-1992	1991-1992	22	0	1	1	-4	8	0	0	0	0	9
Nikolai Tsulygi		D	1996-1997	1996-1997	22	0	1	1	-5	8	0	0	0	0	10
Mike Verace		D	2008-2009	2010-2011	22	0	1	1	-7	10	0	0	0	0	15
Mike Sislo	NJD	R	2013-2014	2014-2015	22	0	1	1	-2	2	0	0	0	0	32
Craig Marti		R	1994-1995	1996-1997	21	0	1	1	-4	24	0	0	0	0	4
Jeff Ware		D	1996-1997	1998-1999	21	0	1	1	-3	12	0	0	0	0	5
Darre Reid		R	2005-2006	2006-2007	21	0	1	1	-9	18	0	0	0	0	11
Joe Filey		D	2011-2012	2012-2013	21	0	1	1	-8	32	0	0	0	0	3
Shaw Belle		D	2006-2007	2010-2011	20	0	1	1	1	2	0	0	0	0	12
Frak Heffera		D	1919-1920	1919-1920	19	0	1	1		10					
Bob Lemieux		D	1967-1968	1967-1968	19	0	1	1		12					
Al Nicholso		L	1955-1956	1956-1957	19	0	1	1		4					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Burr Williams		D	1933-1934	1936-1937	19	0	1	1		28					
Iva Droppa		D	1993-1994	1995-1996	19	0	1	1	4	14	0	0	0	0	14
Alexader Brooks		D	2006-2007	2006-2007	19	0	1	1	-1	4	0	0	0	0	4
Yip Radley		D	1930-1931	1936-1937	18	0	1	1		13					
Gord Redahl		R	1958-1959	1958-1959	18	0	1	1		2					
David Watso		L	1979-1980	1980-1981	18	0	1	1	-3	10	0	0	0		7
Doug Friedma		L	1997-1998	1998-1999	18	0	1	1	0	34	0	0	0	0	11
Casey Hakiso		L	2000-2001	2003-2004	18	0	1	1	-5	13	0	0	0	0	16
Josh Maso	ANA	D	2014-2015	2014-2015	18	0	1	1	0	25	0	0	0	0	20
Trevor va Riemsdyk	CHI	D	2014-2015	2014-2015	18	0	1	1	0	2	0	0	0	0	21
Gerry Deoird		C	1922-1923	1922-1923	17	0	1	1		0					
Steve Smith		D	1981-1982	1988-1989	17	0	1	1	-2	15	0	0	0	0	12
Claudio Scremi		D	1991-1992	1992-1993	17	0	1	1	-5	29	0	0	0	0	22
Dave Marciyshy		D	1990-1991	1992-1993	16	0	1	1	-3	49	0	0	0	0	8
Sergei Starikov		D	1989-1990	1989-1990	16	0	1	1	-8	8	0	0	0	0	6
Darrel Scoville		D	1999-2000	2003-2004	16	0	1	1	-3	12	0	0	0	0	7
Frak Dulap		L	1943-1944	1943-1944	15	0	1	1		2					
Ed Jeremiah		R	1931-1932	1931-1932	15	0	1	1		0					
Michael Colma		D	1991-1992	1991-1992	15	0	1	1	-8	32	0	0	0	0	7
Jarrett Deulig		L	1995-1996	1996-1997	15	0	1	1	-1	11	0	0	0	0	11
Todd Simo		C	1993-1994	1993-1994	15	0	1	1	-3	0	0	0	0	0	14
Greg Nemisz	CAR	R	2010-2011	2011-2012	15	0	1	1	0	0	0	0	0	0	7
Claude Julie		D	1984-1985	1985-1986	14	0	1	1	2	25	0	0	0		4
Lars Zetterstrom		D	1978-1979	1978-1979	14	0	1	1	-10	2	0	0	0		12
Marti Samuelsso		L	2002-2003	2003-2004	14	0	1	1	-2	2	0	0	0	0	10
Gregory Jacia		C	2005-2006	2006-2007	14	0	1	1	-2	6	0	0	0	0	12
Arie Kullma		C	1947-1948	1949-1950	13	0	1	1		11					
Norm McAtee		C	1946-1947	1946-1947	13	0	1	1		0					
Cliff Thompso		D	1941-1942	1948-1949	13	0	1	1		2					
Sea Collis	CBJ	C	2012-2013	2014-2015	13	0	1	1	-2	6	0	0	0	0	7
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Seth Helgeso	NJD	D	2014-2015	2014-2015	13	0	1	1	1	11	0	0	0	0	6
Alex Petrovic	FLA	D	2012-2013	2013-2014	13	0	1	1	-5	33	0	0	0	0	9
Harry Dick		D	1946-1947	1946-1947	12	0	1	1		12					
Peter Ambroziak		L	1994-1995	1994-1995	12	0	1	1	-1	0	0	0	0	0	3
Sea Gago		D	1997-1998	2000-2001	12	0	1	1	-1	34	0	0	0	0	4
Michel Riese		L	2000-2001	2000-2001	12	0	1	1	2	4	0	0	0	0	16
Matt Rya		C	2005-2006	2005-2006	12	0	1	1	-4	2	0	0	0	0	8
Dave Dowie		C	1932-1933	1932-1933	11	0	1	1		2					
Bob Liddigto		L	1970-1971	1970-1971	11	0	1	1	-2	2	0	0	0		2
Al Simmos		D	1971-1972	1975-1976	11	0	1	1	-2	21	0	0	0		11
Victor Igatjev		D	1998-1999	1998-1999	11	0	1	1	-3	6	0	0	0	0	15
Kyle Rossiter		D	2001-2002	2003-2004	11	0	1	1	-3	9	0	0	0	0	1
Brya Adams		L	1999-2000	2000-2001	11	0	1	1	-5	2	0	0	0	0	4
Timo Helblig		D	2005-2006	2006-2007	11	0	1	1	-4	8	0	0	0	0	2
Tristo Grat		L	2006-2007	2009-2010	11	0	1	1	-2	19	0	0	0	0	5
Mark Katic	NYI	D	2010-2011	2010-2011	11	0	1	1	-9	4	0	0	0	0	8
Joha Sudstrom	NYI	C	2013-2014	2013-2014	11	0	1	1	0	6	0	0	0	0	13
Clarece Drouillard		C	1937-1938	1937-1938	10	0	1	1		0					
Bria Kisella		C	1975-1976	1976-1977	10	0	1	1	-4	0	0	0	0		14
Tommy Smith		C	1919-1920	1919-1920	10	0	1	1		11					
Berie Sauders		L	1979-1980	1980-1981	10	0	1	1	-2	8	0	0	0		9
Sergei Ziovjev		C	2003-2004	2003-2004	10	0	1	1	1	2	0	0	0	0	8
Michael Ferlad	CGY	L	2014-2015	2014-2015	10	0	1	1	-2	2	0	0	0	0	15
Jea Bourcier		L	1935-1936	1935-1936	9	0	1	1		0					
Do Cairs		L	1975-1976	1976-1977	9	0	1	1	0	2	0	0	0		5
Alai Belager		R	1977-1978	1977-1978	9	0	1	1	0	6	0	0	0		2
Gilles Bilodeau		L	1979-1980	1979-1980	9	0	1	1	-1	25	0	0	0		1
Ed Cristofoli		R	1989-1990	1989-1990	9	0	1	1	-1	4	0	0	0	0	6
Jeaot Gilbert		C	1962-1963	1964-1965	9	0	1	1		4					
Kevi Evas		L	1990-1991	1991-1992	9	0	1	1	-3	44	0	0	0	0	6
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Bruce Greig		L	1973-1974	1974-1975	9	0	1	1	-3	46	0	0	0		5
Toy Licari		R	1946-1947	1946-1947	9	0	1	1		0					
Da McFall		D	1984-1985	1985-1986	9	0	1	1	-6	0	0	0	0		4
Mike Moher		R	1982-1983	1982-1983	9	0	1	1	-3	28	0	0	0		8
Ro Talakoski		R	1986-1987	1987-1988	9	0	1	1	1	33	0	0	0	0	7
Kirby Law		R	2000-2001	2003-2004	9	0	1	1	-1	4	0	0	0	0	1
Jaso Jaspers		C	2001-2002	2003-2004	9	0	1	1	-3	6	0	0	0	0	4
Roma Tvrdo		C	2003-2004	2003-2004	9	0	1	1	-3	2	0	0	0	0	7
Maxime Fortuus		D	2009-2010	2013-2014	9	0	1	1	-5	4	0	0	0	0	5
Corey Locke		C	2007-2008	2010-2011	9	0	1	1	-1	0	0	0	0	0	9
David Brie		C	2007-2008	2007-2008	9	0	1	1	-1	4	0	0	0	0	3
Mat Clark	ANA	D	2011-2012	2014-2015	9	0	1	1	0	6	0	0	0	0	4
Michael Sgarbossa	COL	C	2012-2013	2014-2015	9	0	1	1	-3	14	0	0	0	0	8
Sam Reihart	BUF	C	2014-2015	2014-2015	9	0	1	1	-1	2	0	0	0	0	3
Bobby Beso		D	1924-1925	1924-1925	8	0	1	1		4					
Da Brea		L	1983-1984	1985-1986	8	0	1	1	-2	9	0	0	0		7
Gordo Clark		R	1974-1975	1975-1976	8	0	1	1	-5	0	0	0	0		4
Jack Markle		R	1935-1936	1935-1936	8	0	1	1		0					
Terry McDoald		D	1975-1976	1975-1976	8	0	1	1	-5	6	0	0	0		4
Deis Larocque		D	1987-1988	1987-1988	8	0	1	1	-4	18	0	0	0	0	2
Charles Luksa		D	1979-1980	1979-1980	8	0	1	1	0	4	0	0	0		3
Ray Podloski		C	1988-1989	1988-1989	8	0	1	1	-1	17	0	0	0	0	3
Leigh Verstraete		R	1982-1983	1987-1988	8	0	1	1	-2	14	0	0	0	0	2
Fracois Groleau		D	1995-1996	1997-1998	8	0	1	1	3	6	0	0	0	0	7
Chris Corriet		R	2001-2002	2001-2002	8	0	1	1	-4	6	0	0	0	0	8
Kevi Doell		C	2007-2008	2007-2008	8	0	1	1	-2	4	0	0	0	0	6
Travis Mori	DAL	C	2010-2011	2014-2015	8	0	1	1	2	0	0	0	0	0	10
Ray Macias		D	2008-2009	2010-2011	8	0	1	1	-1	2	0	0	0	0	4
Justi DiBeedetto	NYI	C	2010-2011	2010-2011	8	0	1	1	-2	2	0	0	0	0	6
Griffi Reihart	NYI	D	2014-2015	2014-2015	8	0	1	1	1	6	0	0	0	0	4
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Frak Beett		L	1943-1944	1943-1944	7	0	1	1		2					
Jeffrey Browschidle		D	1981-1982	1982-1983	7	0	1	1	-9	2	0	0	0		4
Key Girard		R	1956-1957	1959-1960	7	0	1	1		2					
Steve Lagdo		L	1974-1975	1977-1978	7	0	1	1	-1	2	0	0	0		3
Haze McAdrew		D	1941-1942	1941-1942	7	0	1	1		6					
Has Helader		D	1982-1983	1982-1983	7	0	1	1	-2	0	0	0	0		2
Jim Stafield		C	1969-1970	1971-1972	7	0	1	1	0	0	0	0	0		15
Jaso Widmer		D	1994-1995	1996-1997	7	0	1	1	0	7	0	0	0	0	1
Chris Armstrog		D	2000-2001	2003-2004	7	0	1	1	-4	0	0	0	0	0	12
Rya Kraft		C	2002-2003	2002-2003	7	0	1	1	2	0	0	0	0	0	1
Rya Ready		L	2005-2006	2005-2006	7	0	1	1	0	0	0	0	0	0	9
Dwaye Ziger		D	2003-2004	2003-2004	7	0	1	1	2	9	0	0	0	0	0
Cory Larose		C	2003-2004	2003-2004	7	0	1	1	-2	4	0	0	0	0	10
Bria Fahey		D	2010-2011	2010-2011	7	0	1	1	-1	2	0	0	0	0	4
Patrick Coulombe		D	2006-2007	2006-2007	7	0	1	1	-6	4	0	0	0	0	11
Tyler Eckford		D	2009-2010	2010-2011	7	0	1	1	-1	4	0	0	0	0	2
Radek Smoleak		L	2008-2009	2009-2010	7	0	1	1	1	15	0	0	0	0	15
Jake McCabe	BUF	D	2013-2014	2013-2014	7	0	1	1	-3	15	0	0	0	0	1
Viv Alle		R	1940-1941	1940-1941	6	0	1	1		0					
Pete Bessoe		D	1937-1938	1937-1938	6	0	1	1		6					
Leo Carbol		D	1942-1943	1942-1943	6	0	1	1		4					
Jim Culhae		D	1989-1990	1989-1990	6	0	1	1	3	6	0	0	0	0	6
Marty Dallma		C	1987-1988	1988-1989	6	0	1	1	1	0	0	0	0	0	3
Todd Flichel		D	1987-1988	1989-1990	6	0	1	1	-5	4	0	0	0	0	3
Robert Guido		C	1979-1980	1979-1980	6	0	1	1	2	0	0	0	0		10
Barry MacKezie		D	1968-1969	1968-1969	6	0	1	1	-2	6	0	0	0		3
Mike Heidt		D	1983-1984	1983-1984	6	0	1	1	-1	7	0	0	0		1
Barrie Meisser		L	1967-1968	1968-1969	6	0	1	1	0	4	0	0	0		3
Cliff Simpso		C	1946-1947	1947-1948	6	0	1	1		0					
Peter Sturgeo		L	1979-1980	1980-1981	6	0	1	1	0	2	0	0	0		5
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Jeffrey Teal		C	1984-1985	1984-1985	6	0	1	1	0	0	0	0	0		4
Steve Bacroft		D	1992-1993	2001-2002	6	0	1	1	-2	2	0	0	0	0	5
Maxim Balmochykh		L	1999-2000	1999-2000	6	0	1	1	2	2	0	0	0	0	6
Chris Bala		L	2001-2002	2001-2002	6	0	1	1	1	0	0	0	0	0	2
Matt Hederso		L	1998-1999	2001-2002	6	0	1	1	-2	2	0	0	0	0	3
Brado Nola		C	2007-2008	2007-2008	6	0	1	1	-2	0	0	0	0	0	2
Alexei Kaigorodov	ARI	C	2006-2007	2006-2007	6	0	1	1	1	0	0	0	0	0	3
Chad Kolarik		C	2009-2010	2010-2011	6	0	1	1	-2	2	0	0	0	0	6
Kevi Quick		D	2008-2009	2008-2009	6	0	1	1	0	0	0	0	0	0	7
Brado Kozu	TOR	R	2014-2015	2014-2015	6	0	1	1	-4	2	0	0	0	0	2
Red Carr		L	1943-1944	1943-1944	5	0	1	1		2					
Moe L'Abbe		R	1972-1973	1972-1973	5	0	1	1	1	0	0	0	0		4
Garth Macguiga		C	1979-1980	1983-1984	5	0	1	1	1	2	0	0	0		3
Doug Shelto		R	1967-1968	1967-1968	5	0	1	1	-3	2	0	0	0		1
Todd Strueby		L	1981-1982	1983-1984	5	0	1	1	0	2	0	0	0		3
Mike Ware		R	1988-1989	1989-1990	5	0	1	1	0	15	0	0	0	0	1
Blake Bellefeuille		C	2001-2002	2002-2003	5	0	1	1	1	0	0	0	0	0	2
Duca Milroy		R	2006-2007	2006-2007	5	0	1	1	-2	0	0	0	0	0	6
Marti Lojek		D	2006-2007	2007-2008	5	0	1	1	1	0	0	0	0	0	2
Cade Fairchild		D	2011-2012	2011-2012	5	0	1	1	-1	0	0	0	0	0	1
David Broll	TOR	L	2013-2014	2013-2014	5	0	1	1	1	5	0	0	0	0	3
David Pastrak	BOS	R	2014-2015	2014-2015	5	0	1	1	0	0	0	0	0	0	14
Doug Adam		L	1949-1950	1949-1950	4	0	1	1		0					
Al Buchaa		L	1948-1949	1949-1950	4	0	1	1		2					
Bill Burega		D	1955-1956	1955-1956	4	0	1	1		4					
Bob Cuigham		C	1960-1961	1961-1962	4	0	1	1		0					
Gary Diee		C	1968-1969	1968-1969	4	0	1	1	-2	0	0	0	0		2
Da Clark		D	1978-1979	1978-1979	4	0	1	1	1	6	0	0	0		4
Eric Germai		D	1987-1988	1987-1988	4	0	1	1	-2	13	0	0	0	0	2
Guy Rousseau		L	1954-1955	1956-1957	4	0	1	1		0					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
